method,shapiro_stat,shapiro_p
zs,0.9128048260247794,0.017524358109103
zs_cot,0.9776024570037388,0.7588589774761352
zs_cot_sc,0.9279540726497588,0.0433395443925209
formalize,0.9510931913364934,0.18083803530420836
